day,hour,kw_returned,kw_consumed
2019-02-03,18,NA,1.022
2019-02-03,19,NA,1.225
2019-02-03,20,NA,3.64
2019-02-03,21,NA,1.392
2019-02-03,22,NA,1.112
2019-02-03,23,NA,1.136
2019-02-04,0,NA,1.1
2019-02-04,1,NA,1.075
2019-02-04,2,NA,1.215
2019-02-04,3,NA,0.857
2019-02-04,4,NA,0.951
2019-02-04,5,NA,0.983
2019-02-04,6,NA,1.79
2019-02-04,7,NA,2.321
2019-02-04,8,NA,4.681
2019-02-04,9,NA,9.453
2019-02-04,10,NA,7.048
2019-02-04,11,NA,6.347
2019-02-04,12,NA,3.344
2019-02-04,13,NA,3.625
2019-02-04,14,NA,2.737
2019-02-04,15,NA,1.518
2019-02-04,16,NA,1.502
2019-02-04,17,NA,3.016
2019-02-04,18,NA,1.464
2019-02-04,19,NA,2.083
2019-02-04,20,NA,1.532
2019-02-04,21,NA,1.01
2019-02-04,22,NA,0.601
2019-02-04,23,NA,0.406
2019-02-05,0,NA,0.368
2019-02-05,1,NA,0.488
2019-02-05,2,NA,0.484
2019-02-05,3,NA,0.55
2019-02-05,4,NA,0.587
2019-02-05,5,NA,0.596
2019-02-05,6,NA,1.281
2019-02-05,7,NA,2.699
2019-02-05,8,NA,4.945
2019-02-05,9,NA,6.232
2019-02-05,10,NA,5.77
2019-02-05,11,NA,4.08
2019-02-05,12,NA,2.547
2019-02-05,13,NA,1.487
2019-02-05,14,NA,0.879
2019-02-05,15,NA,0.857
2019-02-05,16,NA,0.803
2019-02-05,17,NA,1.743
2019-02-05,18,NA,2.41
2019-02-05,19,NA,1.525
2019-02-05,20,NA,1.33
2019-02-05,21,NA,0.772
2019-02-05,22,NA,0.537
2019-02-05,23,NA,0.629
2019-02-06,0,NA,0.589
2019-02-06,1,NA,0.83
2019-02-06,2,NA,0.742
2019-02-06,3,NA,0.832
2019-02-06,4,NA,0.813
