day,hour,kw_returned,kw_consumed
2022-07-02,8,NA,0.836
2022-07-02,9,NA,0.627
2022-07-02,10,NA,0.601
2022-07-02,11,NA,1.992
2022-07-02,12,NA,0.764
2022-07-02,13,NA,1.188
2022-07-02,14,NA,1.585
2022-07-02,15,NA,2.093
2022-07-02,16,NA,1.757
2022-07-02,17,NA,0.663
2022-07-02,18,NA,2.549
2022-07-02,19,NA,2.899
2022-07-02,20,NA,0.739
2022-07-02,21,NA,2.07
2022-07-02,22,NA,1.537
2022-07-02,23,NA,1.392
2022-07-03,0,NA,0.558
2022-07-03,1,NA,0.527
2022-07-03,2,NA,0.553
2022-07-03,3,NA,0.605
2022-07-03,4,NA,0.643
2022-07-03,5,NA,0.727
2022-07-03,6,NA,0.607
2022-07-03,7,NA,0.63
2022-07-03,8,NA,1.052
2022-07-03,9,NA,0.664
2022-07-03,10,NA,0.78
2022-07-03,11,NA,0.623
2022-07-03,12,NA,0.671
2022-07-03,13,NA,1.094
2022-07-03,14,NA,1.344
2022-07-03,15,NA,1.246
2022-07-03,16,NA,0.729
2022-07-03,17,NA,4.201
2022-07-03,18,NA,2.499
2022-07-03,19,NA,0.716
2022-07-03,20,NA,0.718
2022-07-03,21,NA,0.715
2022-07-03,22,NA,1.575
2022-07-03,23,NA,1.05
2022-07-04,0,NA,0.571
2022-07-04,1,NA,0.568
2022-07-04,2,NA,0.564
2022-07-04,3,NA,0.53
2022-07-04,4,NA,0.579
2022-07-04,5,NA,0.845
2022-07-04,6,NA,1.244
2022-07-04,7,NA,2.544
2022-07-04,8,NA,1.154
2022-07-04,9,NA,1.853
2022-07-04,10,NA,0.878
2022-07-04,11,NA,0.966
2022-07-04,12,NA,0.767
2022-07-04,13,NA,0.692
2022-07-04,14,NA,0.814
2022-07-04,15,NA,0.828
2022-07-04,16,NA,0.7
2022-07-04,17,NA,0.959
2022-07-04,18,NA,0.845
2022-07-04,19,NA,1.124
2022-07-04,20,NA,0.673
2022-07-04,21,NA,0.687
2022-07-04,22,NA,0.768
2022-07-04,23,NA,0.715
2022-07-05,0,NA,0.629
2022-07-05,1,NA,0.654
2022-07-05,2,NA,0.632
2022-07-05,3,NA,0.605
2022-07-05,4,NA,0.647
2022-07-05,5,NA,1.199
2022-07-05,6,NA,0.73
2022-07-05,7,NA,0.808
2022-07-05,8,NA,0.964
2022-07-05,9,NA,1.232
2022-07-05,10,NA,2.913
2022-07-05,11,NA,1.623
2022-07-05,12,NA,0.774
2022-07-05,13,NA,0.746
2022-07-05,14,NA,0.634
2022-07-05,15,NA,0.603
2022-07-05,16,NA,0.787
2022-07-05,17,NA,1.125
2022-07-05,18,NA,0.644
2022-07-05,19,NA,1.755
2022-07-05,20,NA,0.764
2022-07-05,21,NA,0.721
2022-07-05,22,NA,0.716
2022-07-05,23,NA,0.639
2022-07-06,0,NA,0.588
2022-07-06,1,NA,0.621
2022-07-06,2,NA,0.605
2022-07-06,3,NA,0.574
2022-07-06,4,NA,0.605
2022-07-06,5,NA,0.759
2022-07-06,6,NA,1.151
2022-07-06,7,NA,0.939
2022-07-06,8,NA,1.053
2022-07-06,9,NA,0.76
2022-07-06,10,NA,0.853
2022-07-06,11,NA,0.865
2022-07-06,12,NA,2.967
2022-07-06,13,NA,0.891
2022-07-06,14,NA,0.884
2022-07-06,15,NA,0.774
2022-07-06,16,NA,0.862
2022-07-06,17,NA,1.681
2022-07-06,18,NA,0.998
2022-07-06,19,NA,0.836
2022-07-06,20,NA,0.735
2022-07-06,21,NA,0.751
2022-07-06,22,NA,0.703
2022-07-06,23,NA,0.519
2022-07-07,0,NA,0.54
2022-07-07,1,NA,0.508
2022-07-07,2,NA,0.555
2022-07-07,3,NA,0.506
2022-07-07,4,NA,0.508
2022-07-07,5,NA,0.678
2022-07-07,6,NA,0.823
2022-07-07,7,NA,1.047
2022-07-07,8,NA,1.216
2022-07-07,9,NA,3.222
2022-07-07,10,NA,1.845
2022-07-07,11,NA,1.57
2022-07-07,12,NA,2.605
2022-07-07,13,NA,1.278
2022-07-07,14,NA,2.642
2022-07-07,15,NA,0.763
2022-07-07,16,NA,1.069
2022-07-07,17,NA,1.124
2022-07-07,18,NA,0.852
2022-07-07,19,NA,0.69
2022-07-07,20,NA,0.632
2022-07-07,21,NA,0.891
2022-07-07,22,NA,0.788
2022-07-07,23,NA,0.696
2022-07-08,0,NA,0.542
2022-07-08,1,NA,0.51
2022-07-08,2,NA,0.959
2022-07-08,3,NA,0.491
2022-07-08,4,NA,0.677
2022-07-08,5,NA,0.689
2022-07-08,6,NA,0.591
2022-07-08,7,NA,0.231
2022-07-08,8,NA,0.039
2022-07-08,9,NA,0
2022-07-08,10,NA,0
2022-07-08,11,NA,0.001
2022-07-08,12,NA,0
2022-07-08,13,NA,0
2022-07-08,14,NA,0.09
2022-07-08,15,NA,0
2022-07-08,16,NA,0.189
2022-07-08,17,NA,0.663
2022-07-08,18,NA,1.009
2022-07-08,19,NA,1.065
2022-07-08,20,NA,1.665
2022-07-08,21,NA,0.608
2022-07-08,22,NA,0.584
2022-07-08,23,NA,0.683
2022-07-09,0,NA,0.523
2022-07-09,1,NA,0.519
2022-07-09,2,NA,0.534
2022-07-09,3,NA,0.508
2022-07-09,4,NA,0.494
2022-07-09,5,NA,0.585
2022-07-09,6,NA,0.251
2022-07-09,7,NA,0.035
2022-07-09,8,NA,0
2022-07-09,9,NA,0.104
2022-07-09,10,NA,0
2022-07-09,11,NA,0
2022-07-09,12,NA,0
2022-07-09,13,NA,0
2022-07-09,14,NA,0.006
2022-07-09,15,NA,0.567
2022-07-09,16,NA,0.306
2022-07-09,17,NA,1.708
2022-07-09,18,NA,1.096
2022-07-09,19,NA,1.133
2022-07-09,20,NA,1.61
2022-07-09,21,NA,0.752
2022-07-09,22,NA,1.321
2022-07-09,23,NA,1.059
2022-07-10,0,NA,0.604
2022-07-10,1,NA,0.553
2022-07-10,2,NA,0.539
2022-07-10,3,NA,0.513
2022-07-10,4,NA,0.535
2022-07-10,5,NA,0.565
2022-07-10,6,NA,0.165
2022-07-10,7,NA,0.02
2022-07-10,8,NA,0.005
2022-07-10,9,NA,0.002
2022-07-10,10,NA,0
2022-07-10,11,NA,0
2022-07-10,12,NA,0.002
2022-07-10,13,NA,0.014
2022-07-10,14,NA,0
2022-07-10,15,NA,0
2022-07-10,16,NA,0.137
2022-07-10,17,NA,0.592
2022-07-10,18,NA,0.312
2022-07-10,19,NA,0.738
2022-07-10,20,NA,0.731
2022-07-10,21,NA,0.948
2022-07-10,22,NA,0.767
2022-07-10,23,NA,0.598
2022-07-11,0,NA,0.528
2022-07-11,1,NA,0.551
2022-07-11,2,NA,0.51
2022-07-11,3,NA,1.011
2022-07-11,4,NA,0.51
2022-07-11,5,NA,0.672
2022-07-11,6,NA,0.282
2022-07-11,7,NA,0.009
2022-07-11,8,NA,0.506
2022-07-11,9,NA,0
2022-07-11,10,NA,0
2022-07-11,11,NA,0
2022-07-11,12,NA,0
2022-07-11,13,NA,0
2022-07-11,14,NA,0
2022-07-11,15,NA,0.029
2022-07-11,16,NA,0.581
2022-07-11,17,NA,0.944
2022-07-11,18,NA,1.669
2022-07-11,19,NA,2.872
2022-07-11,20,NA,2.851
2022-07-11,21,NA,3.157
2022-07-11,22,NA,1.579
2022-07-11,23,NA,1.894
2022-07-12,0,NA,1.517
2022-07-12,1,NA,0.573
2022-07-12,2,NA,0.564
2022-07-12,3,NA,0.588
2022-07-12,4,NA,0.531
2022-07-12,5,NA,0.676
2022-07-12,6,NA,0.307
2022-07-12,7,NA,0.01
2022-07-12,8,NA,0.057
2022-07-12,9,NA,0
2022-07-12,10,NA,0
2022-07-12,11,NA,0
2022-07-12,12,NA,0
2022-07-12,13,NA,0
2022-07-12,14,NA,0.027
2022-07-12,15,NA,0
2022-07-12,16,NA,0
2022-07-12,17,NA,0.025
2022-07-12,18,NA,0.634
2022-07-12,19,NA,1.098
2022-07-12,20,NA,0.42
2022-07-12,21,NA,0.927
2022-07-12,22,NA,1.354
2022-07-12,23,NA,0.993
2022-07-13,0,NA,0.484
2022-07-13,1,NA,0.469
2022-07-13,2,NA,0.53
2022-07-13,3,NA,0.497
2022-07-13,4,NA,0.492
2022-07-13,5,NA,0.338
2022-07-13,6,NA,0.013
2022-07-13,7,NA,0
2022-07-13,8,NA,0
2022-07-13,9,NA,0
2022-07-13,10,NA,0.001
2022-07-13,11,NA,0
2022-07-13,12,NA,0.001
2022-07-13,13,NA,0
2022-07-13,14,NA,0
2022-07-13,15,NA,0
2022-07-13,16,NA,0
2022-07-13,17,NA,0.089
2022-07-13,18,NA,0.546
2022-07-13,19,NA,2.338
2022-07-13,20,NA,0.812
2022-07-13,21,NA,0.543
2022-07-13,22,NA,0.599
2022-07-13,23,NA,0.554
2022-07-14,0,NA,0.521
2022-07-14,1,NA,0.645
2022-07-14,2,NA,0.571
2022-07-14,3,NA,0.511
2022-07-14,4,NA,1.738
2022-07-14,5,NA,0.48
2022-07-14,6,NA,0.169
2022-07-14,7,NA,0
2022-07-14,8,NA,0
2022-07-14,9,NA,0
2022-07-14,10,NA,0
2022-07-14,11,NA,0
2022-07-14,12,NA,0
2022-07-14,13,NA,0
2022-07-14,14,NA,0
2022-07-14,15,NA,0
2022-07-14,16,NA,0
2022-07-14,17,NA,0.006
2022-07-14,18,NA,0.648
2022-07-14,19,NA,0.66
2022-07-14,20,NA,1.016
2022-07-14,21,NA,0.473
2022-07-14,22,NA,0.544
2022-07-14,23,NA,0.903
2022-07-15,0,NA,NA
2022-07-15,1,NA,NA
2022-07-15,2,NA,NA
2022-07-15,3,NA,NA
2022-07-15,4,NA,NA
2022-07-15,5,0,0.317
2022-07-15,6,0.041,0.13
2022-07-15,7,1.622,0
2022-07-15,8,4.259,0
2022-07-15,9,5.893,0
2022-07-15,10,7.215,0.001
2022-07-15,11,8.594,0
2022-07-15,12,9.773,0
2022-07-15,13,6.166,0.001
2022-07-15,14,5.729,0
2022-07-15,15,5.16,0
2022-07-15,16,5.371,0
2022-07-15,17,1.51,0.104
2022-07-15,18,0.34,0.451
2022-07-15,19,0.088,0.93
2022-07-15,20,0,0.649
2022-07-15,21,0,1.482
2022-07-15,22,0,0.662
2022-07-15,23,0,1.176
2022-07-16,0,0,0.515
2022-07-16,1,0,0.936
2022-07-16,2,0,0.492
2022-07-16,3,0,0.528
2022-07-16,4,0,1.477
2022-07-16,5,0,0.568
2022-07-16,6,0.092,0.177
2022-07-16,7,1.517,0
2022-07-16,8,4.074,0
2022-07-16,9,6.179,0
2022-07-16,10,6.378,0
2022-07-16,11,9.185,0
2022-07-16,12,6.844,0
2022-07-16,13,6.703,0
2022-07-16,14,7.083,0
2022-07-16,15,6.618,0.005
2022-07-16,16,5.244,0
2022-07-16,17,1.775,0.142
2022-07-16,18,0.294,0.379
2022-07-16,19,0.081,0.562
2022-07-16,20,0,0.544
2022-07-16,21,0,1.331
2022-07-16,22,0,0.54
2022-07-16,23,0,0.958
2022-07-17,0,0,0.516
2022-07-17,1,0,0.457
2022-07-17,2,0,0.696
2022-07-17,3,0,0.512
2022-07-17,4,0,1.431
2022-07-17,5,0,0.533
2022-07-17,6,0.133,0.087
2022-07-17,7,1.043,0
2022-07-17,8,2.979,0
2022-07-17,9,6.218,0
2022-07-17,10,8.107,0
2022-07-17,11,9.34,0
2022-07-17,12,9.887,0
2022-07-17,13,8.957,0
2022-07-17,14,8.417,0
2022-07-17,15,7.764,0
2022-07-17,16,4.772,0.016
2022-07-17,17,0.84,0.235
2022-07-17,18,0.563,0.001
2022-07-17,19,0.165,0.661
2022-07-17,20,0,0.691
2022-07-17,21,0,0.781
2022-07-17,22,0,0.619
2022-07-17,23,0,0.562
2022-07-18,0,0,0.549
2022-07-18,1,0,0.537
