Date,Time,kWh delivered,kWh received
15/07/2022,3 a.m.,,
15/07/2022,4 a.m.,,
15/07/2022,5 a.m.,0.317,0
15/07/2022,6 a.m.,0.13,0.041
15/07/2022,7 a.m.,0,1.622
15/07/2022,8 a.m.,0,4.259
15/07/2022,9 a.m.,0,5.893
15/07/2022,10 a.m.,0.001,7.215
15/07/2022,11 a.m.,0,8.594
15/07/2022,12 p.m.,0,9.773
15/07/2022,1 p.m.,0.001,6.166
15/07/2022,2 p.m.,0,5.729
15/07/2022,3 p.m.,0,5.16
15/07/2022,4 p.m.,0,5.371
15/07/2022,5 p.m.,0.104,1.51
15/07/2022,6 p.m.,0.451,0.34
15/07/2022,7 p.m.,0.93,0.088
15/07/2022,8 p.m.,0.649,0
15/07/2022,9 p.m.,1.482,0
15/07/2022,10 p.m.,0.662,0
15/07/2022,11 p.m.,1.176,0
16/07/2022,12 a.m.,0.515,0
16/07/2022,1 a.m.,0.936,0
16/07/2022,2 a.m.,0.492,0
16/07/2022,3 a.m.,0.528,0
16/07/2022,4 a.m.,1.477,0
16/07/2022,5 a.m.,0.568,0
16/07/2022,6 a.m.,0.177,0.092
16/07/2022,7 a.m.,0,1.517
16/07/2022,8 a.m.,0,4.074
16/07/2022,9 a.m.,0,6.179
16/07/2022,10 a.m.,0,6.378
16/07/2022,11 a.m.,0,9.185
16/07/2022,12 p.m.,0,6.844
